subject	A1	A2	B1	B2	C1	C2	DMA1	DMA2	DMB1	DMB2	DPA11	DPA12	DPA21	DPA22	DPB11	DPB12	DQB11	DQB12	DRA1	DRA2	DRB11	DRB12	DRB31	DRB32	E1	E2	F1	F2	HFE1	HFE2	K1	K2	DPB21	DPB22	W1	W2	J1	J2	L1	L2	DOB1	DOB2	DOA1	DOA2	DQA11	DQA12	DRB41	DRB42	H1	H2	DRB51	DRB52	R1	R2	V1	V2	Y1	Y2	G1	G2	T1	T2	U1	U2	S1	S2	DQB21	DQB22	DQA21	DQA22	DRB71	DRB72	N1	N2	P1	P2
SRR7367664	56476.0	56476.0	46723.0	46723.0	8388.0	8388.0	3098.0	3098.0	1954.0	1954.0	9867.0	9867.0			3830.0	3830.0	3240.0	3240.0	13824.0	13824.0	5636.0	5636.0	2.0	2.0	66704.0	66704.0	13581.0	13581.0	244.0	244.0	85.0	85.0	16.0	16.0	33.0	33.0	26.0	26.0			539.0	539.0	266.0	266.0	3687.0	3687.0			42.0	42.0	19.0	19.0			2.0	2.0			6.0	6.0			2.0	2.0												
SRR7367665	32030.0	32030.0	32251.0	32251.0	71061.0	71061.0	4304.0	4304.0	2713.0	2713.0	15703.0	15703.0			9530.0	9530.0	4319.0	4319.0	28085.0	28085.0	2369.0	2369.0	165.0	165.0	67528.0	67528.0	10472.0	10472.0	267.0	267.0	3.0	3.0	7.0	7.0	27.0	27.0	20.0	20.0	10.0	10.0	273.0	273.0	148.0	148.0	2710.0	2710.0			1.0	1.0	3.0	3.0			4.0	4.0			2.0	2.0																
SRR7367666	27420.0	27420.0	198881.0	198881.0	11296.0	11296.0	3529.0	3529.0	1831.0	1831.0	8045.0	8045.0	2.0	2.0	2930.0	2930.0	2732.0	2732.0	14498.0	14498.0	462.0	462.0	3.0	3.0	120965.0	120965.0	12814.0	12814.0	214.0	214.0	13.0	13.0	7.0	7.0	18.0	18.0	36.0	36.0	7.0	7.0	342.0	342.0	140.0	140.0	1385.0	1385.0	32.0	32.0	19.0	19.0					1.0	1.0			4.0	4.0							2.0	2.0								
SRR7367667	37864.0	37864.0	11510.0	11510.0	8230.0	8230.0	3157.0	3157.0	2811.0	2811.0	9458.0	9458.0	1.0	1.0	4414.0	4414.0	3634.0	3634.0	18299.0	18299.0	7986.0	7986.0	4.0	4.0	92987.0	92987.0	16749.0	16749.0	475.0	475.0	15.0	15.0	6.0	6.0	33.0	33.0	60.0	60.0	24.0	24.0	284.0	284.0	111.0	111.0	984.0	984.0	44.0	44.0	12.0	12.0	7655.0	7655.0			5.0	5.0			8.0	8.0																
SRR7367668	9080.0	9080.0	15683.0	15683.0	45773.0	45773.0	3103.0	3103.0	2121.0	2121.0	6637.0	6637.0	4.0	4.0	3878.0	3878.0	2.0	2.0	18323.0	18323.0	344.0	344.0	4.0	4.0	29769.0	29769.0	2059.0	2059.0	351.0	351.0	5.0	5.0	11.0	11.0	18.0	18.0	16.0	16.0	3.0	3.0	462.0	462.0	50.0	50.0	8.0	8.0	23.0	23.0	1.0	1.0	4.0	4.0							4.0	4.0																
SRR7367669	60143.0	60143.0	35088.0	35088.0	89568.0	89568.0	3994.0	3994.0	2767.0	2767.0	17413.0	17413.0			10372.0	10372.0	5695.0	5695.0	31181.0	31181.0	14824.0	14824.0	9.0	9.0	73198.0	73198.0	12707.0	12707.0	225.0	225.0	5.0	5.0	3.0	3.0	37.0	37.0	54.0	54.0	47.0	47.0	722.0	722.0	361.0	361.0	3290.0	3290.0	1.0	1.0	2.0	2.0	11086.0	11086.0							5.0	5.0																
SRR7367670	68755.0	68755.0	35644.0	35644.0	107578.0	107578.0	4442.0	4442.0	3810.0	3810.0	14927.0	14927.0	1.0	1.0	8135.0	8135.0	1126.0	1126.0	32090.0	32090.0	10932.0	10932.0	11.0	11.0	80529.0	80529.0	17691.0	17691.0	532.0	532.0	86.0	86.0	6.0	6.0	16.0	16.0	45.0	45.0	37.0	37.0	744.0	744.0	281.0	281.0	2557.0	2557.0			10.0	10.0	10311.0	10311.0	1.0	1.0	5.0	5.0	93.0	93.0	18.0	18.0			3.0	3.0												
SRR7367671	16709.0	16709.0	9354.0	9354.0	6962.0	6962.0	4309.0	4309.0	3100.0	3100.0	18893.0	18893.0	1.0	1.0	13937.0	13937.0	6428.0	6428.0	28439.0	28439.0	6102.0	6102.0	11.0	11.0	71200.0	71200.0	14695.0	14695.0	327.0	327.0	43.0	43.0	21.0	21.0	7.0	7.0	31.0	31.0	17.0	17.0	717.0	717.0	334.0	334.0	4416.0	4416.0			53.0	53.0			1.0	1.0	6.0	6.0	81.0	81.0	7.0	7.0																
SRR7367672	56191.0	56191.0	14018.0	14018.0	17464.0	17464.0	3852.0	3852.0	2381.0	2381.0	14029.0	14029.0	2.0	2.0	5722.0	5722.0	3375.0	3375.0	21827.0	21827.0	7557.0	7557.0	7.0	7.0	70396.0	70396.0	11157.0	11157.0	208.0	208.0	110.0	110.0	14.0	14.0	6.0	6.0	38.0	38.0	18.0	18.0	635.0	635.0	392.0	392.0	3899.0	3899.0			74.0	74.0	6585.0	6585.0			4.0	4.0	94.0	94.0	10.0	10.0			7.0	7.0												
SRR7367673	32153.0	32153.0	109406.0	109406.0	79652.0	79652.0	3699.0	3699.0	2620.0	2620.0	16440.0	16440.0	1.0	1.0	11856.0	11856.0	5411.0	5411.0	28783.0	28783.0	10631.0	10631.0	10.0	10.0	63368.0	63368.0	10641.0	10641.0	381.0	381.0	9.0	9.0	11.0	11.0	8.0	8.0	35.0	35.0	17.0	17.0	665.0	665.0	198.0	198.0	2269.0	2269.0	43.0	43.0	2.0	2.0	9157.0	9157.0			3.0	3.0			4.0	4.0					1.0	1.0										
